 sph_density sph_internal_energy sph_pressure sph_soundspeed eos_pressure eos_soundspeed
0 9083.768056 4785004.889509 93209573431.58281 6679.7712409999995 726278211640.2589 18204.562483431982
1 9148.314325 5063345.462727 98539207798.57138 6775.677581999999 745033642705.2598 18322.74294006648
2 9329.946281 5148456.590485 105476550320.91423 6893.640326000001 792110302229.308 18637.34292936764
3 4278.8557439999995 6291663.717378 56699144372.88023 5961.0829619999995 56706318672.06075 5961.353097456212
4 1706.868366 3538775.4342239997 254.266854 0.0014089999999999999 254.26687979802185 0.0014092675328530872
5 9841.803173999999 6111046.533842 134953836662.99132 7354.071559 949139245648.9692 19491.11545443727
6 2076.816757 4258132.218024 577756142.1084349 2421.7092629999997 577908625.5275669 2422.2696325847146
7 4025.2915439999997 5567247.160013 48662454962.802345 5531.74756 48645073680.88243 5530.963332441566
8 4407.186554 6802555.312530001 62160607213.76585 6238.415303 62136672457.01266 6237.607842585509
9 9590.055666 5330933.235402999 116324234406.32582 7069.561354 869078702152.0359 19065.821803036048
10 9832.746367 5659635.731007 129019175105.00916 7264.312548999999 942755395018.6898 19467.045457776927
11 9944.620024 5925513.116762999 136424163208.37456 7373.165641 977673170493.8158 19654.003995019164
12 3450.6740590000004 3779975.1190879997 32347718764.62029 4998.989588 32341708836.05116 4998.602844025049
13 9068.972292 4766502.433518 92515297322.16321 6667.201669 722349743730.5862 18178.594569805216
14 3480.123993 4212816.686509999 35032165058.632805 5120.067104 35026717997.24903 5119.73183757109
15 9975.654229 5947873.635338 137835728466.53473 7393.2541280000005 986934684366.9789 19704.779795447143
16 3381.959553 3849632.318375 32016516065.782 5100.941132 32011652407.36361 5100.622872997208
17 3916.0265340000005 5429676.563549 46516983599.65037 5425.686615 46506073216.73013 5425.166876746559
18 4299.414672 6354561.675291 57445256103.85086 6001.178035 57436617708.861946 6000.856837205588
19 2191.369142 2191455.4432139997 -2510828014.239212 2535.1489920000004 -2518688942.4562626 2541.1193969411433
20 3766.244146 6075943.809344 48537856435.019165 5573.442523 48541294225.38125 5573.610813322599
21 4057.525152 7450926.240553 60272794462.895515 6024.5062100000005 60299348713.59462 6025.543245126284
22 4005.4481880000003 5793116.732927999 49769430670.88191 5578.38409 49744377461.50296 5577.288377843506
23 2986.919406 2936649.688073 21574338594.485283 5598.803801 21597651531.72082 5600.496925885841
24 10552.608097 6401933.564769 166067249318.41953 7770.821543000001 1178247912627.175 20609.47800899729
